obs,country,country_map,code,region,continent,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,hief,refug,richoil,oilrents
57,Norway,Norway,NOR,Europe & Central Asia,Europe,14.23561116,61895.79561,7.569330215,4.296000004,4,1.161716,2.242804,Maintain,0,23.23902149,10.13146877,10,15.1,50377,1,3.142470375
58,Panama,Panama,PAN,Latin America & Caribbean,America,4.701027527,28436.35983,NA,3.002000093,6,0.3860773,-0.3707323,Maintain,0,10.28531179,6.8090291,9,61.2,17304,0,0
59,Paraguay,Paraguay,PRY,Latin America & Caribbean,America,2.356666686,11810.42797,NA,4.556000233,35,0.038498,-0.9470149,Maintain,0,11.56696159,6.74699259,9,17.9,167,0,0
60,Peru,Peru,PER,Latin America & Caribbean,America,0.289645141,12110.26888,3.969330072,3,41.5,-0.3975714,-0.5338408,Maintain,0,12.96557338,5.03110838,9,61.8,1454,0,0.255110712
61,Poland,Poland,POL,Europe & Central Asia,Europe,1.604180837,27885.4244,4.812260151,7.500999928,37,0.8748524,0.6695215,Raise,0,18.06844882,6.39785814,10,6.9,14057,0,0.029400671
62,Portugal,Portugal,PRT,Europe & Central Asia,Europe,8.089593589,31157.75914,4.885540009,12.44400024,6,0.9178401,0.964725,Raise,0,17.85068282,8.97663212,10,22,851,0,0
63,Puerto Rico,Puerto Rico,PRI,Latin America & Caribbean,America,7.465496392,34311.02963,NA,12,6,0.8551208,0.0861484,NA,0,8.803149682,NA,NA,NA,NA,0,0
64,Romania,Romania,ROU,Europe & Central Asia,Europe,1.163134803,23920.21544,3.106760025,6.811999798,8,0.1891144,-0.0176464,Raise,0,14.01625357,4.94264841,9,20.7,2581,0,0.339690919
65,San Marino,San Marino,SMR,Europe & Central Asia,Europe,14.84220132,57794.8503,NA,NA,12.5,0.9194738,NA,Raise,0,19.99053538,7.27498674,NA,NA,NA,NA,NA
66,Slovak Republic,Slovakia,SVK,Europe & Central Asia,Europe,3.265417899,29455.65865,4.599540234,11.48099995,26.5,0.8745452,0.1778616,Maintain,0,18.63273398,6.79333973,10,24.1,816,0,0.051236146
67,Slovenia,Slovenia,SVN,Europe & Central Asia,Europe,11.41296409,33956.84298,4.909530163,8.961999893,6,0.9533927,0.7729982,Maintain,0,18.82314255,8.49823952,10,25.8,284,0,8.73958E-05
68,Solomon Islands,Solomon Islands,SLB,East Asia & Pacific,Pacific,0.442947201,2520.669732,NA,0.66900003,9,0.6609848,-0.3408384,Maintain,0,NA,5.19329929,8,9.7,5,0,0
69,Spain,Spain,ESP,Europe & Central Asia,Europe,12.69023719,37420.78618,4.286570072,22.05699921,14,0.2514912,0.5839002,Maintain,0,19.47957943,9.12686825,10,66.9,6447,0,0.002952653
70,St. Kitts and Nevis,Saint Kitts,KNA,Latin America & Caribbean,America,13.39343554,25569.35702,2.643460035,NA,18.5,0.5823264,0.5045007,NA,0,NA,5.31862164,NA,NA,NA,0,0
71,St. Lucia,Saint Lucia,LCA,Latin America & Caribbean,America,6.903280558,14029.98253,3.867729902,24.09000015,11,0.8536908,0.6177639,Maintain,0,NA,4.60818338,NA,NA,NA,0,0
72,St. Martin (French part),Saint Martin,MAF,Latin America & Caribbean,Europe,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
73,St. Vincent and the Grenadines,Saint Vincent,VCT,Latin America & Caribbean,America,4.181359741,11971.99328,NA,19.31500053,10,1.004725,0.6747008,Maintain,0,NA,4.08409452,NA,NA,NA,0,0
74,Suriname,Suriname,SUR,Latin America & Caribbean,America,8.625811501,17382.75643,NA,7.21999979,84,0.2566883,-0.239112,Maintain,0,NA,6.21926689,5,NA,NA,0,2.803942404
75,Sweden,Sweden,SWE,Europe & Central Asia,Europe,16.76755875,51704.50304,7.443900108,7.43200016,7,0.9471064,2.241128,Raise,0,25.71819541,10.79714203,10,21.9,169516,0,0
76,Switzerland,Switzerland,CHE,Europe & Central Asia,Europe,29.38668554,66161.77652,5.100570202,4.801000118,10,1.339359,2.136473,Lower,0,11.9330699,11.36931515,10,36.7,73326,0,0
77,Trinidad and Tobago,Trinidad,TTO,Latin America & Caribbean,America,3.66763033,29182.57065,NA,2.210999966,11.5,0.2861143,-0.3007314,Maintain,0,NA,6.03951168,10,65.5,105,1,2.484104542
78,Turks and Caicos Islands,Turks and Caicos Islands,TCA,Latin America & Caribbean,America,34.03710067,26691.61937,3.157449961,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,5,0,0
79,Ukraine,Ukraine,UKR,Europe & Central Asia,Europe,10.78646116,11237.07446,NA,9.140000343,8,-1.9618,-0.979916,Raise,0,18.92414752,7.77607775,4,37,3261,0,0.297611367
80,United Kingdom,UK,GBR,Europe & Central Asia,Europe,13.20097825,44849.73829,5.556159973,5.301000118,4.5,0.5177479,1.876371,Lower,0,19.49375449,9.90435219,10,39.9,123051,0,0.240220164
81,United States,USA,USA,North America,America,14.49065352,58509.58354,NA,5.28000021,5.6,0.6780624,1.396935,Maintain,0,14.30820461,16.71075249,10,52.7,273198,0,0.008301462
82,Uruguay,Uruguay,URY,Latin America & Caribbean,America,2.092316749,20588.39312,NA,7.487999916,6.5,1.004238,1.316853,Raise,0,13.83580999,9.00821114,10,17.6,292,0,0
83,"Venezuela, RB",Venezuela,VEN,Latin America & Caribbean,America,4.514736572,NA,NA,7.440000057,186,-0.9771809,-1.391322,Maintain,0,NA,5.79743814,4,52,173745,NA,NA
84,Virgin Islands (U.S.),Virgin Islands,VIR,Latin America & Caribbean,America,53.36387841,NA,NA,9.527000427,NA,1.249272,0.6324804,NA,0,NA,NA,NA,NA,NA,0,0
