obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
38,Central African Republic,Central African Republic,CAF,Sub-Saharan Africa,1.665172192,852.7494264,NA,3.864000082,22,-1.904765,-1.308061,NA,0,14.77679854,5.03434181,0,1,79,7332,0,0
39,Chad,Chad,TCD,Sub-Saharan Africa,3.682771371,1857.107337,NA,1.832999945,60,-0.9745526,-1.363967,Maintain,0,5.1450878,4.52395248,-2,1,85.5,369538,0,7.550632367
40,Channel Islands,NA,CHI,Europe & Central Asia,50.28162647,NA,NA,8.083999634,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
41,Chile,Chile,CHL,Latin America & Caribbean,2.615513217,23633.66384,4.875309944,6.507999897,7.5,0.4334392,1.27997,Maintain,0,12.99389253,8.30269146,10,3,43.9,1840,0,0.015163399
42,China,China,CHN,East Asia & Pacific,0.071076396,12691.82155,NA,4.629000187,29.3,-0.5502946,-0.2821073,Raise,0,16.21788677,4.8887229,-7,0,19,301044,0,0.337199481
43,Colombia,Colombia,COL,Latin America & Caribbean,0.276047227,14237.58381,4.470389843,8.298999786,12,-1.069147,-0.2981746,Maintain,0,14.81162979,7.52338552,7,2,63.9,212,0,2.712069872
44,Comoros,Comoros,COM,Sub-Saharan Africa,1.592316297,2959.539971,2.545059919,4.493000031,16,-0.2327915,-0.7191136,NA,0,10.59190468,4.73517609,9,1,5.4,NA,0,0
45,"Congo, Dem. Rep.",Democratic Republic of the Congo,COD,Sub-Saharan Africa,0.706246281,1065.24241,2.170439959,4.406000137,11.5,-2.150854,-1.285265,Maintain,0,9.056194741,3.99593234,5,1,70.4,383095,0,0.39880676
46,"Congo, Rep.",Republic of Congo,COG,Sub-Saharan Africa,8.505799369,5252.154163,4.561470032,9.911999702,50.5,-0.526366,-1.196039,Maintain,0,20.08403892,3.41535068,-4,1,NA,44952,0,18.39280107
47,Costa Rica,Costa Rica,CRI,Latin America & Caribbean,8.771009911,18024.49197,7.082540035,8.998999596,23,0.6820255,0.7484275,Maintain,0,17.47982898,7.82285929,10,3,39.8,3603,0,0
48,Cote d'Ivoire,Ivory Coast,CIV,Sub-Saharan Africa,9.582598655,4417.151166,3.494159937,3.101999998,7,-0.8325459,-0.4349297,Maintain,0,8.742420019,4.42198133,4,1,73.1,1972,0,0.395315219
