obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
150,Pakistan,Pakistan,PAK,South Asia,1.920846061,4278.346427,2.650019884,3.565999985,20,-2.482708,-0.8107558,Lower,0,10.9725341,2.68711925,7,1,74.8,1561157,0,0.313562781
151,Palau,Palau,PLW,East Asia & Pacific,26.60278991,18352.39575,NA,NA,28,0.9194738,-0.5246901,NA,0,28.51007478,11.39383602,NA,NA,NA,NA,0,NA
152,Panama,Panama,PAN,Latin America & Caribbean,4.701027527,28436.35983,NA,3.002000093,6,0.3860773,-0.3707323,Maintain,0,10.28531179,6.8090291,9,NA,61.2,17304,0,0
153,Papua New Guinea,Papua New Guinea,PNG,East Asia & Pacific,0.338376609,4086.928177,NA,2.572999954,53,-0.4221483,-0.9398028,Maintain,0,NA,1.81881714,5,NA,NA,9503,0,2.294520187
154,Paraguay,Paraguay,PRY,Latin America & Caribbean,2.356666686,11810.42797,NA,4.556000233,35,0.038498,-0.9470149,Maintain,0,11.56696159,6.74699259,9,NA,17.9,167,0,0
155,Peru,Peru,PER,Latin America & Caribbean,0.289645141,12110.26888,3.969330072,3,41.5,-0.3975714,-0.5338408,Maintain,0,12.96557338,5.03110838,9,NA,61.8,1454,0,0.255110712
156,Philippines,Philippines,PHL,East Asia & Pacific,0.210390539,7300.135781,NA,3.068000078,25,-0.8556625,-0.4534707,Maintain,0,10.91164166,4.32136869,8,NA,80.7,254,0,0.047782986
157,Poland,Poland,POL,Europe & Central Asia,1.604180837,27885.4244,4.812260151,7.500999928,37,0.8748524,0.6695215,Raise,0,18.06844882,6.39785814,10,NA,6.9,14057,0,0.029400671
158,Portugal,Portugal,PRT,Europe & Central Asia,8.089593589,31157.75914,4.885540009,12.44400024,6,0.9178401,0.964725,Raise,0,17.85068282,8.97663212,10,NA,22,851,0,0
159,Puerto Rico,Puerto Rico,PRI,Latin America & Caribbean,7.465496392,34311.02963,NA,12,6,0.8551208,0.0861484,NA,0,8.803149682,NA,NA,NA,NA,NA,0,0
161,Romania,Romania,ROU,Europe & Central Asia,1.163134803,23920.21544,3.106760025,6.811999798,8,0.1891144,-0.0176464,Raise,0,14.01625357,4.94264841,9,NA,20.7,2581,0,0.339690919
162,Russian Federation,Russia,RUS,Europe & Central Asia,8.11621786,25566.28763,3.834029913,5.571000099,10.8,-1.029335,-0.9491526,Raise,0,17.76538922,5.29560423,4,NA,37.6,314498,0,5.919344846
163,Rwanda,Rwanda,RWA,Sub-Saharan Africa,3.803080984,1889.157275,3.632339954,1.143000007,6,0.0132411,0.6357123,Raise,0,13.84159162,6.86232901,-3,NA,28,144739,0,0
164,Samoa,Samoa,WSM,East Asia & Pacific,2.550872544,5997.008601,NA,8.656000137,9,1.183974,0.2910067,Maintain,0,NA,5.6747098,NA,NA,NA,NA,0,0
165,San Marino,San Marino,SMR,Europe & Central Asia,14.84220132,57794.8503,NA,NA,12.5,0.9194738,NA,Raise,0,19.99053538,7.27498674,NA,NA,NA,NA,NA,NA
166,Sao Tome and Principe,Sao Tome and Principe,STP,Sub-Saharan Africa,1.25772286,3794.491814,3.864500046,13.47200012,7,0.1440426,-0.0451635,NA,0,NA,5.34009647,NA,NA,NA,NA,0,0
168,Senegal,Senegal,SEN,Sub-Saharan Africa,1.739951417,2966.453516,5.45637989,6.756999969,6,-0.1166648,0.0590133,NA,0,14.29927726,4.38257313,7,NA,74.7,14383,0,0
169,Serbia,Serbia,SRB,Europe & Central Asia,9.122622084,15526.89835,3.789020061,17.65999985,11.5,0.238982,-0.2670502,Maintain,0,16.4115099,8.81929588,8,NA,39.6,35326,0,0.12815794
170,Seychelles,Seychelles,SYC,Sub-Saharan Africa,13.25890682,25609.28948,NA,NA,32,0.6887798,0.8836091,Lower,0,20.32579482,4.58823824,NA,NA,NA,NA,0,0
171,Sierra Leone,Sierra Leone,SLE,Sub-Saharan Africa,1.413457295,1551.822009,NA,4.637000084,10,-0.1025168,-0.7997045,NA,0,10.24577223,20.41341209,7,NA,80.1,760,0,0
172,Singapore,Singapore,SGP,East Asia & Pacific,45.39179191,89366.30789,NA,3.789999962,2.5,1.311753,2.092715,Maintain,0,10.19090832,4.18069839,-2,NA,39.5,NA,0,0
173,Sint Maarten (Dutch part),NA,SXM,Latin America & Caribbean,70.44779972,41852.40413,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,NA,NA
174,Slovak Republic,Slovakia,SVK,Europe & Central Asia,3.265417899,29455.65865,4.599540234,11.48099995,26.5,0.8745452,0.1778616,Maintain,0,18.63273398,6.79333973,10,NA,24.1,816,0,0.051236146
175,Slovenia,Slovenia,SVN,Europe & Central Asia,11.41296409,33956.84298,4.909530163,8.961999893,6,0.9533927,0.7729982,Maintain,0,18.82314255,8.49823952,10,NA,25.8,284,0,8.74E-05
176,Solomon Islands,Solomon Islands,SLB,East Asia & Pacific,0.442947201,2520.669732,NA,0.66900003,9,0.6609848,-0.3408384,Maintain,0,NA,5.19329929,8,NA,9.7,5,0,0
177,Somalia,Somalia,SOM,Sub-Saharan Africa,0.234455884,NA,NA,11.62300014,70,-2.380828,-1.615163,NA,0,7.897808108,NA,5,NA,22.2,8081,NA,NA
178,South Africa,South Africa,ZAF,Sub-Saharan Africa,5.767090449,12840.03587,5.956190109,25.15600014,46,-0.2129929,0.0251445,Maintain,0,20.45438832,8.20090294,9,NA,85.6,121635,0,0.005102447
179,South Sudan,South Sudan,SSD,Sub-Saharan Africa,6.67856204,NA,1.465559959,12.57499981,14,-2.375689,-1.687515,NA,0,7.329147349,NA,0,NA,74.6,263012,NA,8.553034839
180,Spain,Spain,ESP,Europe & Central Asia,12.69023719,37420.78618,4.286570072,22.05699921,14,0.2514912,0.5839002,Maintain,0,19.47957943,9.12686825,10,NA,66.9,6447,0,0.002952653
181,Sri Lanka,Sri Lanka,LKA,South Asia,0.186850018,11890.51618,2.22874999,4.519000053,10,0.0903681,-0.3441554,Maintain,0,8.992685055,3.88992047,6,NA,32.3,781,0,0
182,St. Kitts and Nevis,Saint Kitts,KNA,Latin America & Caribbean,13.39343554,25569.35702,2.643460035,NA,18.5,0.5823264,0.5045007,NA,0,NA,5.31862164,NA,NA,NA,NA,0,0
183,St. Lucia,Saint Lucia,LCA,Latin America & Caribbean,6.903280558,14029.98253,3.867729902,24.09000015,11,0.8536908,0.6177639,Maintain,0,NA,4.60818338,NA,NA,NA,NA,0,0
184,St. Martin (French part),Saint Martin,MAF,Latin America & Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
185,St. Vincent and the Grenadines,Saint Vincent,VCT,Latin America & Caribbean,4.181359741,11971.99328,NA,19.31500053,10,1.004725,0.6747008,Maintain,0,NA,4.08409452,NA,NA,NA,NA,0,0
186,Sudan,Sudan,SDN,Sub-Saharan Africa,1.251344542,4191.823461,NA,17.31599998,36.5,-2.162183,-1.466466,Maintain,0,4.579225542,7.18615294,NA,NA,74.6,309632,0,0.980507882
187,Suriname,Suriname,SUR,Latin America & Caribbean,8.625811501,17382.75643,NA,7.21999979,84,0.2566883,-0.239112,Maintain,0,NA,6.21926689,5,NA,NA,NA,0,2.803942404
188,Sweden,Sweden,SWE,Europe & Central Asia,16.76755875,51704.50304,7.443900108,7.43200016,7,0.9471064,2.241128,Raise,0,25.71819541,10.79714203,10,NA,21.9,169516,0,0
189,Switzerland,Switzerland,CHE,Europe & Central Asia,29.38668554,66161.77652,5.100570202,4.801000118,10,1.339359,2.136473,Lower,0,11.9330699,11.36931515,10,NA,36.7,73326,0,0
191,Tajikistan,Tajikistan,TJK,Europe & Central Asia,3.242910896,2821.656311,5.231389999,11.5010004,11,-0.8826423,-1.125708,Maintain,0,14.99028067,6.9073596,-3,NA,36.7,1963,0,0.030178139
192,Tanzania,Tanzania,TZA,Sub-Saharan Africa,0.48853553,2354.139221,NA,2.102999926,29,-0.4161943,-0.6878198,NA,0,9.927294507,3.64969921,3,NA,59.1,211845,0,0
193,Thailand,Thailand,THA,East Asia & Pacific,5.758232652,16301.53809,NA,0.597000003,31,-0.9944293,-0.4934002,Raise,0,17.12117244,3.66789317,-3,NA,35.2,108252,0,0.56616623
194,Timor-Leste,Timor-Leste,TLS,East Asia & Pacific,0.914442949,3297.867109,8.433259964,4.448999882,14,-0.2718863,-0.5216289,Maintain,0,58.79089003,3.95390606,8,NA,NA,NA,0,NA
195,Togo,Togo,TGO,Sub-Saharan Africa,3.79000676,1447.229049,5.10860014,2.203999996,10,-0.2313481,-0.7238495,NA,0,17.989406,6.24938154,-2,NA,88,21949,0,0
196,Tonga,Tonga,TON,East Asia & Pacific,5.397946689,5949.018574,NA,1.126999974,16,0.8863344,-0.4673948,Maintain,0,NA,4.57615185,NA,NA,NA,NA,0,0
197,Trinidad and Tobago,Trinidad,TTO,Latin America & Caribbean,3.66763033,29182.57065,NA,2.210999966,11.5,0.2861143,-0.3007314,Maintain,0,NA,6.03951168,10,NA,65.5,105,1,2.484104542
199,Turkey,Turkey,TUR,Europe & Central Asia,3.769001103,26165.39708,NA,10.23600006,11,-1.493914,-0.1543817,Maintain,0,13.80517246,4.11690378,3,NA,52.1,2541348,0,0.044502889
200,Turkmenistan,Turkmenistan,TKM,Europe & Central Asia,3.654711583,12993.52247,NA,3.953999996,NA,-0.0877989,-1.346634,Lower,0,7.40788035,6.29793644,-8,NA,25.5,25,0,5.095879455
201,Turks and Caicos Islands,Turks and Caicos Islands,TCA,Latin America & Caribbean,34.03710067,26691.61937,3.157449961,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,0,0
202,Tuvalu,NA,TUV,East Asia & Pacific,1.421944332,3723.199797,NA,NA,NA,1.391288,-0.032997,NA,0,NA,16.69959259,NA,NA,NA,NA,0,0
203,Uganda,Uganda,UGA,Sub-Saharan Africa,1.920126168,2054.090126,2.340490103,1.858999968,27,-0.8045017,-1.051651,NA,0,8.993149656,6.78750038,-1,NA,88.3,477187,0,0
204,Ukraine,Ukraine,UKR,Europe & Central Asia,10.78646116,11237.07446,NA,9.140000343,8,-1.9618,-0.979916,Raise,0,18.92414752,7.77607775,4,NA,37,3261,0,0.297611367
206,United Kingdom,UK,GBR,Europe & Central Asia,13.20097825,44849.73829,5.556159973,5.301000118,4.5,0.5177479,1.876371,Lower,0,19.49375449,9.90435219,10,NA,39.9,123051,0,0.240220164
207,United States,USA,USA,North America,14.49065352,58509.58354,NA,5.28000021,5.6,0.6780624,1.396935,Maintain,0,14.30820461,16.71075249,10,NA,52.7,273198,0,0.008301462
208,Uruguay,Uruguay,URY,Latin America & Caribbean,2.092316749,20588.39312,NA,7.487999916,6.5,1.004238,1.316853,Raise,0,13.83580999,9.00821114,10,NA,17.6,292,0,0
209,Uzbekistan,Uzbekistan,UZB,Europe & Central Asia,3.91690324,6086.715742,5.786379814,5.150000095,5.5,-0.3730364,-1.261961,Maintain,0,14.34039737,4.9875989,-9,NA,31.3,106,0,0.55451918
210,Vanuatu,Vanuatu,VUT,East Asia & Pacific,1.204222904,3037.784742,5.390810013,4.566999912,35,0.4784089,-0.1168138,Maintain,0,NA,4.15773726,NA,NA,NA,NA,0,0
211,"Venezuela, RB",Venezuela,VEN,Latin America & Caribbean,4.514736572,NA,NA,7.440000057,186,-0.9771809,-1.391322,Maintain,0,NA,5.79743814,4,NA,52,173745,NA,NA
212,Vietnam,Vietnam,VNM,East Asia & Pacific,0.077897131,6438.260271,NA,2.125,20,0.0699705,-0.4261965,Maintain,0,6.333263532,5.65262079,-7,NA,NA,NA,0,1.515276886
213,Virgin Islands (U.S.),Virgin Islands,VIR,Latin America & Caribbean,53.36387841,NA,NA,9.527000427,NA,1.249272,0.6324804,NA,0,NA,NA,NA,NA,NA,NA,0,0
216,Zambia,Zambia,ZMB,Sub-Saharan Africa,0.78902565,3443.555206,4.62432003,10.10499954,8.5,0.1516949,-0.3412615,NA,0,14.78059341,4.43510246,7,NA,70.6,26434,0,0
217,Zimbabwe,Zimbabwe,ZWE,Sub-Saharan Africa,2.556382525,2958.209004,NA,5.302000046,91,-0.6181563,-1.310461,NA,0,18.87751257,7.45206642,4,NA,41.5,6943,0,0
